"","cor w cell mixing","residual SD from cell mixing"
"TBC1D10B",0.85803696008687,0.238891455096529
"EFNA2",0.813770724761123,0.3093649015918
"NTHL1",0.848107234118101,0.295308776199405
"JAM3",0.855224155603269,0.235824729584561
"LEPR",0.880266378131781,0.265576643624116
"PBK",0.84929412008474,0.256277754666155
"TLR10",0.985050536314278,0.268570508275364
"FGF16",0.722181638480072,0.31301103864028
"STAT6",0.898423652783047,0.225916985850383
"PTPN5",0.871780783650296,0.271686781362727
"PIAS4",0.829601831510523,0.269271305069568
"MAPK1",0.878675987109181,0.237474838904951
"BNIP3",0.384019859167304,0.580362331111209
"TTK",0.777782771412892,0.321833344121761
"FZD9",0.84132419985117,0.285190146503296
"CD1D",0.859796215868032,0.298020833305085
"OASL",0.820853972582442,0.286135548061319
"MCM2",0.805875368820953,0.391328242123723
"EPM2AIP1",0.893844356811837,0.269049540092675
"IL12A",0.869650523222124,0.30562486751475
"CD300A",0.892129553048624,0.268455527992142
"AR",0.779084635785106,0.349023823465273
"PGPEP1",0.871248534252502,0.213701399974817
"CDH3",0.877434165523111,0.276050660640382
"IL20RA",0.836145919846724,0.299837736114183
"STC1",0.143960654953707,0.891771948724079
"BRD3",0.862437404220657,0.233849783609239
"ACSF3",0.953028940371701,0.20341861464076
"SRP54",0.862032024535463,0.245215409206208
"PCK1",0.807804466750944,0.271106081827772
"IL2RG",0.995041277840524,0.222552719716026
"BRCA2",0.903732079591845,0.21311340861447
"CLEC4A",0.878428998780583,0.290668356388848
"ICOS",0.939214246536386,0.303598325858278
"ECSIT",0.843003822644226,0.248550142171053
"SETD2",0.83878860551243,0.325296092918807
"LCK",0.984965505086428,0.250889870883783
"CACNG6",0.859120230056126,0.270797224786418
"FOXL2",0.757992487265885,0.314791831366118
"PYCR2",0.954445146550238,0.231649955517609
"HLA-DRB5",0.789558504414811,0.365571727886791
"CCL17",0.848076534673184,0.359084238156684
"CCR1",0.900447677328791,0.295403245087006
"CCR7",0.992312835480347,0.238421198021342
"PHGDH",0.71878569473317,0.469750758937727
"IGLL1",0.974729598683829,0.306470851618703
"IFNAR1",0.920267231984032,0.224599939054313
"GNAQ",0.842509447367452,0.237481479503959
"AURKA",0.789689398469121,0.338345458997803
"CCNE2",0.835711352873088,0.283303404673893
"CD83",0.993853594480367,0.245674471793088
"PLA2G4C",0.941012858377945,0.273775180983007
"TERT",0.860207492364046,0.288949721901358
"C7",0.965311697005645,0.289824652852909
"NFKB2",0.84509211490816,0.332374841564347
"WNT7A",0.835904671369959,0.282801068279217
"HLA-F",0.998179382924176,0.212319433671138
"TGFB2",0.838229877945174,0.285011144024213
"MMP3",0.848270783689445,0.28784122480702
"TBP",0.905989576357875,0.232924993921748
"REN",0.862973605858949,0.260357566722751
"CCR2",0.84599930504014,0.288673241249006
"GPX1",0.672146150867116,0.555327285179822
"ACOT12",0.832960902093615,0.317423819305204
"TRAF1",0.866080709609962,0.395380010494004
"ALKBH3",0.839394447778973,0.267795226156406
"WNT3",0.856938966697023,0.260628303826352
"TNFSF13",0.852027778240234,0.238316559336602
"MGMT",0.961573668429337,0.266471561425759
"ANP32B",0.755934505106088,0.360986683200636
"DDB2",0.845018505265389,0.302084396025166
"APOB",0.834709981897993,0.296017115728841
"ZC3H12A",0.89830129516338,0.282439646776053
"TNFRSF10A",0.961829850972183,0.235537076305352
"EGR2",0.91425418565482,0.287880869287073
"CX3CR1",0.887887378536494,0.229867158918194
"NOTCH3",0.949293934392812,0.266867652225071
"LEP",0.691376605471782,0.30640468268554
"CYP4A11",0.88623856183069,0.242080985548609
"LRRC32",0.872179949915112,0.284357495024374
"NOTCH2",0.889314646591836,0.224881721921471
"MICA",0.82405458575866,0.367852250075406
"CCR4",0.943012985414251,0.234072815791801
"BCL2",0.977138622630314,0.215311044193349
"PTGS2",0.305603179586734,0.716607618248339
"XRCC4",0.856800081178064,0.263070873297083
"CCR9",0.819438437667412,0.301231543578014
"ITGB3",0.633296971713393,0.47508690635488
"MX1",0.948502505204769,0.336493556852676
"FGF12",0.833186549781517,0.267769240954863
"CES3",0.804169529574371,0.278403977566631
"CACNA2D2",0.775750832692549,0.321165085983985
"TNFSF8",0.883422399695582,0.259122711056309
"PMS2",0.811638564208481,0.247360655436965
"P4HA1",0.498173524601191,0.563687041224925
"CD274",0.764774809925608,0.329686993172396
"RELN",0.760063444469178,0.323318278005823
"GNG12",0.812008478401135,0.398485158045751
"FUT4",0.875520476126784,0.242697955858975
"BRAF",0.835231321493478,0.249938725935908
"BRD2",0.919477718707823,0.200610946273558
"TPI1",0.714476855607627,0.344370763203949
"ALCAM",0.779543504471011,0.338323842583273
"HSPA2",0.838833082745166,0.286254558099197
"PRKCB",0.98365212404929,0.278462346929238
"RPS6",0.856909324522988,0.273116978508791
"STAT3",0.978698833274056,0.172798618139609
"LFNG",0.96106665591905,0.244974569595229
"KRT17",0.834410794448303,0.319393440527515
"CCL3L1",0.827713134374297,0.319988743563674
"HDAC1",0.921918696663911,0.291340601932992
"MSR1",0.759745275560092,0.366718823854654
"PPP2R2B",0.877772846594979,0.289558658381809
"RIN1",0.804716422951191,0.275208137719828
"PRKAR2A",0.696041844168567,0.43499804160164
"ARNT",0.949664947438229,0.216392722410083
"SOX2",0.811075311132516,0.302521744723626
"MAP3K14",0.951141627664621,0.200870551721754
"PARP12",0.873759332864907,0.254726039356763
"SOX11",0.860071843360346,0.262265313163345
"SMARCB1",0.862944758931317,0.30181203105935
"ICAM3",0.985552325429668,0.182297657368917
"LILRA3",0.967302342613264,0.424572708969041
"PBX1",0.898323980176731,0.268250331713322
"CD40",0.974836512445702,0.241785174038411
"NFATC2",0.945609876207621,0.286165938962677
"TNFRSF12A",0.779856715143013,0.472359282057541
"BMP4",0.787593278335314,0.333758199371185
"IRF4",0.992726298839766,0.242008997469204
"CD3EAP",0.804114017414959,0.266312324146315
"ITGB8",0.719425076642017,0.319798206953484
"ATG16L1",0.892693874100643,0.237230340890583
"FADD",0.83210333895925,0.265502858939405
"PIK3R3",0.883459071724672,0.260976960672563
"ENG",0.771601024583922,0.336991917804942
"XCL1",0.852685421518873,0.302407453275816
"PDPN",0.806911967134169,0.371099703760001
"BST2",0.949826889470697,0.283648778204496
"GLI3",0.82138211305294,0.265118589506108
"AFDN",0.833820483449504,0.275314269773087
"IFNA2",0.846112281864728,0.426649799990276
"CD84",0.982386608801931,0.265831832939529
"IL1B",0.946867669151964,0.292187665784713
"PRKCE",0.878559384657557,0.228752815425312
"SMC1A",0.885713022683125,0.293783648747275
"PPP3CB",0.743080701486627,0.420566845353699
"CLEC4C",0.881003527053283,0.306554312280471
"CDH5",0.94362414317665,0.240761253887425
"E2F5",0.906218960907325,0.273004587830857
"CCND2",0.898473541132132,0.312407588403
"CREB3L1",0.780964896594219,0.298410302111644
"CD5",0.986102311247934,0.236968499663272
"API5",0.871629600550053,0.267239149372994
"RPS6KA5",0.797657133802029,0.30481667238014
"PF4",0.842348831435075,0.296502247138675
"ASXL1",0.925941839968057,0.227390024046984
"MMRN2",0.920983240484273,0.267115873561952
"TMUB2",0.913514529503151,0.240272526196366
"NPM2",0.844608083481103,0.269972215491467
"DDX43",0.843338604965972,0.282579946551316
"ATF2",0.925758638957906,0.199299770836124
"CBL",0.883989882534828,0.217080654570879
"SOS2",0.895349004044379,0.236269477012762
"ARNT2",0.864128294294014,0.254179715456632
"TCF7",0.992847380565958,0.253753283078972
"SIGLEC1",0.903636453089648,0.259611276010036
"RPL23",0.822254701864982,0.265213114198537
"IL19",0.879277653228866,0.273484000757787
"NKG7",0.972446749354489,0.232830236575201
"SLC1A5",0.802236572125216,0.411823635033006
"MMP11",0.403813972661192,0.589253651855195
"TNFRSF14",0.981097792380783,0.191172406001541
"HDAC2",0.743184303270469,0.405584509770634
"AICDA",0.927916560406118,0.312628874933266
"ENO1",0.406294729726574,0.606852775983124
"LTBP1",0.505285558672383,0.623605168492322
"GZMM",0.90811596283009,0.271399767510884
"SPO11",0.758518617484152,0.320556018618794
"NID2",0.864150558915101,0.27929538252452
"TXK",0.961072675806448,0.239936754964253
"TBXAS1",0.90130270579283,0.283470770701117
"HK1",0.60278572419928,0.40657607665026
"EP300",0.961210957173149,0.210398563687275
"TNFRSF8",0.877091701609565,0.24550061530767
"PSMD7",0.790058212713249,0.358940915126118
"LILRA1",0.80881483635906,0.284774518831793
"IFI35",0.937022398851605,0.252003690847262
"LAMB4",0.783765731525357,0.280977283482027
"CLEC7A",0.942426575848507,0.239991647645606
"BMP6",0.938917844950508,0.281723317576499
"FOXM1",0.771678575115659,0.403125707609834
"HLA-DOA",0.996074558062523,0.250276682662624
"SERPINB2",0.690782550663769,0.336629314993136
"TICAM2",0.912747744837999,0.233730650062688
"PLA2G10",0.821294113127147,0.293166122204155
"PML",0.807685901193079,0.270767060799768
"SH2B2",0.935989434573635,0.251217293237233
"GOT2",0.768236384678696,0.443047243470492
"IL23A",0.809351298308226,0.294259079140147
"CCNE1",0.859572224815325,0.260835902594257
"HSPA6",0.784116391679936,0.519506927265172
"TREM1",0.749896546954133,0.355688060832126
"SFRP1",0.657276119469119,0.621055309429846
"FZD4",0.892169809945959,0.215402381865821
"IL1RAP",0.595324849442488,0.461470675642887
"NDUFB10",0.80168248707932,0.393578041212523
"EFNA1",0.849683067341056,0.262871430578943
"LRRN3",0.869865521262778,0.287734463889822
"LAMC2",0.92652126959321,0.258964560789851
"A2M",0.993436205922066,0.255272874824632
"FANCL",0.894183945118914,0.272180889609013
"AKT3",0.930219450727339,0.230325240806998
"GRIN1",0.86137466393373,0.276835427019348
"NTRK1",0.829173586421991,0.25405678487669
"KRT18",0.692604671265483,0.678513906165
"CD37",0.995806490216432,0.248607054247021
"JADE1",0.902062822981985,0.241035961606824
"MET",0.780162349642835,0.491237522770326
"PURA",0.936156588344123,0.243914331545457
"CXCR6",0.828630954062748,0.31573614012805
"PTCH1",0.8476112577137,0.259347925231746
"IL7",0.863257014949786,0.295526033839675
"UBE2C",0.679919941167673,0.519756766437263
"CCL4",0.912546380838691,0.271381413883178
"FGF8",0.876265198405147,0.278600032169956
"PLCE1",0.788944730756355,0.255062966730655
"NRDE2",0.859635809333145,0.249789376294657
"WNT3A",0.820652008949196,0.325984746140443
"IRF8",0.996162970420334,0.246425248900957
"DKK2",0.886092322312635,0.269445196766259
"CDKN1B",0.921620389268009,0.229244589566479
"MAPKAPK2",0.947699206848434,0.184933117320022
"POU5F1",0.826353440786484,0.306846654599791
"NRP1",0.859687744702217,0.372592983376041
"DLL3",0.845666834430328,0.302845852882493
"PYCR1",0.757475206191821,0.321355029198972
"CACNB4",0.85947493612823,0.297598794723589
"CCL24",0.809636300343276,0.318493934924089
"GABPA",0.886119697863761,0.240853722223427
"TLK2",0.777854653779859,0.289664287285434
"COL6A3",0.745739835195961,0.776800162236247
"C1R",0.977001286188988,0.240912705334804
"BNIP3L",0.599065916256086,0.418044196211372
"IL12B",0.87658757944512,0.273802137332626
"LILRB1",0.972132497804055,0.252699111506904
"GNG4",0.795615706951316,0.316078304558882
"RAC2",0.985443470599824,0.276221645840183
"PRKACA",0.799597655644849,0.373976562518332
"HK2",0.299669021825058,0.634057716259567
"CCL16",0.853507543689368,0.305997782959006
"HDAC4",0.922270994855585,0.236547455624704
"MLH1",0.77908755220869,0.331505943995032
"APOC2",0.847451349815348,0.293963890080839
"NSD2",0.804776148379145,0.326558190079145
"SIX1",0.779223096231376,0.257256678498826
"SLC7A5",0.605093212034567,0.606555370257905
"CD48",0.99649448877215,0.262250467802912
"NR3C1",0.929302378757678,0.23749664666266
"HSPB1",0.741357752270842,0.373826037079799
"CACNG4",0.706709525278988,0.327705427480478
"COL3A1",0.471158791626076,0.834857425487286
"MST1R",0.769918228373862,0.329559507220515
"HHIP",0.800137722638028,0.2828315167547
"CCR5",0.920350790467811,0.277146501957706
"TCL1B",0.868561285039497,0.238760514000199
"FGF5",0.700463756705133,0.353353321672563
"MED12",0.809984396772572,0.263396771963127
"GPC4",0.84006704134416,0.275770151561315
"CDKN2A",0.802635794497794,0.300232887365678
"VEGFB",0.844086825063412,0.239238221373538
"P2RY13",0.916459136963247,0.282703727021537
"DLL1",0.926105554283626,0.286884402035069
"SPIB",0.97925591608899,0.237571040816389
"ASPG",0.759472410374103,0.324783338612644
"MAML2",0.910815057656605,0.19097963110839
"BBC3",0.788721848127177,0.300401387477959
"POLR2H",0.775704970776248,0.305496711498452
"RPL7A",0.705898125949814,0.319195880598461
"MDM2",0.894895749761187,0.237824710064953
"SH2D1A",0.954645313060465,0.263543536909883
"THBS4",0.807785613281657,0.325400136950793
"CDK2",0.794720462676165,0.317435117857804
"ARID1A",0.939132746807054,0.238524006003669
"NOD2",0.87928879855666,0.280805491093365
"G6PD",0.808524175497502,0.384114582901338
"FLNA",0.785791449425075,0.441627317114236
"S100A8",0.975590330671472,0.263412539742874
"CXCL14",0.983627682803617,0.341838150979342
"ATF1",0.889617847446737,0.236060537496805
"SGK1",0.841757868369628,0.359014486342272
"FGF23",0.875956656708884,0.265261755547774
"EPO",0.773273991698373,0.295295388841177
"CASP10",0.969127555365054,0.254472818967166
"EWSR1",0.867119543086089,0.319980696397361
"CD46",0.957445560585141,0.179520212078633
"FZD6",0.867313330869847,0.264436344806508
"CD96",0.977647399894958,0.238172399966579
"CTSH",0.998062070389957,0.249909826079279
"FANCB",0.762233023197028,0.320846743310351
"ACTA2",0.92941167884353,0.270342800808241
"MAP4K2",0.929249801379288,0.286391737357185
"IL24",0.868550409341644,0.267323716462222
"CSF1",0.956624213085205,0.202763404184774
"MS4A2",0.883425242084965,0.282236649548981
"ITGB4",0.894084383468,0.297678743644346
"IL27",0.802576681391957,0.35922458967353
"TMEM173",0.79859032550942,0.312053440297838
"DUSP8",0.851176647351646,0.269306418665389
"SERPING1",0.989139615896722,0.251894351857746
"JAML",0.985862297989197,0.259840273215014
"SMC1B",0.842000637200635,0.31653283166554
"NAT8L",0.881503987050754,0.267967454927341
"CACNG1",0.776976835216381,0.313139227463357
"IL15",0.843271766802877,0.285053687569479
"FCGR1A",0.906671465493782,0.271147500353046
"AMBP",0.856111757783832,0.267705424069319
"SEMG1",0.834279676321517,0.292808448365552
"CASP9",0.896455267502434,0.230962706130236
"CD81",0.981954795543319,0.329811577732537
"DNMT1",0.832898559409047,0.395771464469114
"BAP1",0.697582308610671,0.416745205590976
"CACNB2",0.885311440456223,0.28840033457066
"KRT19",0.862687101877745,0.312408755639938
"APLNR",0.900878030998257,0.256699264579323
"CD55",0.797633359533547,0.3819162115649
"PPP3CA",0.880295398306723,0.256432337466004
"NKD1",0.848309879170555,0.285000060564044
"FANCG",0.849874152716974,0.245266569182746
"KRT5",0.979653859286217,0.197055708999959
"WNT16",0.772225789818236,0.320145678377435
"IL15RA",0.878943481038758,0.328564376984674
"TLR2",0.91956804177048,0.260720674864064
"NFE2L2",0.930615857340411,0.223356157905588
"RIPK2",0.700629508665389,0.354221651492404
"APOE",0.760770231251087,0.339028465820892
"PIK3CB",0.839084723285302,0.227703275576877
"PCK2",0.797210339071734,0.35166558506765
"CD33",0.746172771563653,0.299019018120038
"MRPL19",0.842086883109896,0.30543717443287
"SLAMF1",0.936424792992836,0.270877498402698
"TRAF6",0.885087013986982,0.224880199912972
"MRM2",0.811755403333962,0.277579784063412
"SELP",0.962443947092088,0.256102123575128
"LDHB",0.740820314885155,0.516635937800157
"KAT2B",0.947974502306849,0.22442540151999
"CYP4A22",0.84647686901231,0.265507714498237
"XCR1",0.888633696252609,0.264697648778476
"FANCA",0.847843082867952,0.323582739954683
"PIK3CD",0.969392684044328,0.262293653050816
"IFI16",0.908150552542413,0.268498500329059
"RANBP2",0.843098107459114,0.257331104197183
"TNFSF15",0.852935152432806,0.282591670962966
"CMTM6",0.913955775368132,0.270775756203662
